# Id Frattura
0
# Id; X; Y; Z
0; 8.0000000000000004e-01; 5.0000000000000000e-01; 0.0000000000000000e+00
1; 8.0000000000000004e-01; 1.0000000000000000e+00; 0.0000000000000000e+00
2; 0.0000000000000000e+00; 1.0000000000000000e+00; 0.0000000000000000e+00
3; 0.0000000000000000e+00; 5.0000000000000000e-01; 0.0000000000000000e+00
4; 8.0000000000000004e-01; 0.0000000000000000e+00; 0.0000000000000000e+00
5; 1.0000000000000000e+00; 0.0000000000000000e+00; 0.0000000000000000e+00
6; 1.0000000000000000e+00; 1.0000000000000000e+00; 0.0000000000000000e+00
7; 0.0000000000000000e+00; 0.0000000000000000e+00; 0.0000000000000000e+00

# Id Frattura
1
# Id; X; Y; Z
0; 8.0000000000000004e-01; 1.0000000000000000e+00; 0.0000000000000000e+00
1; 8.0000000000000004e-01; 1.0000000000000000e+00; -1.0000000000000001e-01
2; 8.0000000000000004e-01; 0.0000000000000000e+00; -1.0000000000000001e-01
3; 8.0000000000000004e-01; 0.0000000000000000e+00; 0.0000000000000000e+00
4; 8.0000000000000004e-01; 0.0000000000000000e+00; 2.9999999999999999e-01
5; 8.0000000000000004e-01; 1.0000000000000000e+00; 2.9999999999999999e-01

# Id Frattura
2
# Id; X; Y; Z
0; -2.3777799999999999e-01; 5.0000000000000000e-01; 0.0000000000000000e+00
1; -2.3777799999999999e-01; 5.0000000000000000e-01; -3.4444000000000002e-01
2; 3.1618370000000001e-01; 5.0000000000000000e-01; -3.4444000000000002e-01
3; 3.1618370000000001e-01; 5.0000000000000000e-01; 0.0000000000000000e+00
4; 3.1618370000000001e-01; 5.0000000000000000e-01; 4.5283889999999999e-01
5; -2.3777799999999999e-01; 5.0000000000000000e-01; 4.5283889999999999e-01

