# Id Frattura
0
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 0
3; 3; 4
4; 4; 5
5; 5; 6
6; 6; 7
7; 7; 8
8; 8; 3
9; 9; 10
10; 10; 11
11; 11; 4
12; 4; 9
13; 12; 1
14; 1; 13
15; 13; 14
16; 14; 15
17; 15; 12
18; 7; 16
19; 16; 8
20; 2; 17
21; 17; 13
22; 13; 0
23; 5; 18
24; 18; 19
25; 19; 17
26; 17; 6
27; 20; 10
28; 10; 21
29; 21; 20
30; 22; 23
31; 23; 24
32; 24; 4
33; 4; 22
34; 24; 25
35; 25; 9
36; 8; 26
37; 26; 22
38; 22; 3
39; 15; 27
40; 27; 12
41; 16; 27
42; 27; 26
43; 21; 18
44; 18; 11
45; 11; 20

# Id Frattura
1
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 0
3; 3; 4
4; 4; 0
5; 2; 5
6; 5; 6
7; 6; 3
8; 6; 7
9; 7; 3

# Id Frattura
2
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 6
6; 6; 7
7; 7; 8
8; 8; 4
9; 9; 10
10; 10; 11
11; 11; 12
12; 12; 5
13; 5; 9
14; 13; 14
15; 14; 15
16; 15; 13
17; 1; 16
18; 16; 10
19; 10; 2
20; 12; 6
21; 17; 5
22; 5; 18
23; 18; 17
24; 8; 13
25; 15; 4
26; 19; 9
27; 9; 17
28; 18; 20
29; 20; 19
30; 3; 21
31; 21; 14
32; 14; 22
33; 22; 0
34; 20; 21
35; 21; 19

# Id Frattura
3
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 6
6; 6; 7
7; 7; 4
8; 8; 9
9; 9; 10
10; 10; 11
11; 11; 12
12; 12; 13
13; 13; 14
14; 14; 8
15; 15; 16
16; 16; 17
17; 17; 18
18; 18; 19
19; 19; 20
20; 20; 21
21; 21; 15
22; 10; 2
23; 2; 11
24; 22; 0
25; 3; 23
26; 23; 22
27; 24; 12
28; 12; 25
29; 25; 24
30; 19; 1
31; 1; 20
32; 17; 26
33; 26; 18
34; 25; 26
35; 26; 13
36; 13; 24
37; 7; 16
38; 16; 4
39; 21; 27
40; 27; 15
41; 23; 28
42; 28; 5
43; 5; 27
44; 27; 22
45; 14; 29
46; 29; 8

# Id Frattura
4
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 6
6; 6; 7
7; 7; 8
8; 8; 4
9; 9; 10
10; 10; 6
11; 6; 11
12; 11; 9
13; 12; 13
14; 13; 14
15; 14; 15
16; 15; 16
17; 16; 12
18; 1; 17
19; 17; 18
20; 18; 2
21; 19; 20
22; 20; 17
23; 17; 21
24; 21; 19
25; 3; 9
26; 11; 0
27; 8; 15
28; 15; 4
29; 13; 5
30; 5; 14
31; 16; 19
32; 21; 12

# Id Frattura
5
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 0
6; 3; 6
7; 6; 4
8; 7; 8
9; 8; 5
10; 5; 7
11; 6; 9
12; 9; 7
13; 7; 4

# Id Frattura
6
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 0
3; 3; 4
4; 4; 5
5; 5; 6
6; 6; 3
7; 7; 0
8; 2; 8
9; 8; 9
10; 9; 7
11; 5; 10
12; 10; 1
13; 1; 11
14; 11; 5
15; 12; 3
16; 3; 13
17; 13; 14
18; 14; 12
19; 15; 16
20; 16; 17
21; 17; 18
22; 18; 19
23; 19; 15
24; 6; 11
25; 11; 13
26; 20; 21
27; 21; 22
28; 22; 4
29; 3; 20
30; 17; 21
31; 21; 18
32; 14; 20
33; 20; 12
34; 19; 7
35; 9; 15

# Id Frattura
7
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 6
6; 6; 4
7; 7; 8
8; 8; 9
9; 9; 10
10; 10; 7
11; 7; 5
12; 5; 11
13; 11; 12
14; 12; 13
15; 13; 7
16; 14; 15
17; 15; 16
18; 16; 17
19; 17; 14
20; 8; 18
21; 18; 15
22; 15; 9
23; 12; 19
24; 19; 1
25; 1; 20
26; 20; 12
27; 21; 22
28; 22; 6
29; 5; 23
30; 23; 21
31; 24; 0
32; 3; 25
33; 25; 24
34; 6; 26
35; 26; 27
36; 27; 28
37; 28; 4
38; 11; 28
39; 28; 19
40; 29; 12
41; 20; 24
42; 24; 29
43; 22; 26
44; 10; 5
45; 13; 30
46; 30; 7
47; 23; 14
48; 17; 31
49; 31; 21
50; 25; 32
51; 32; 24
52; 33; 29
53; 32; 34
54; 34; 33
55; 34; 18
56; 18; 30
57; 30; 33

# Id Frattura
8
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 3
3; 3; 0
4; 4; 5
5; 5; 6
6; 6; 7
7; 7; 8
8; 8; 4
9; 9; 10
10; 10; 11
11; 11; 12
12; 12; 13
13; 13; 9
14; 1; 14
15; 14; 15
16; 15; 2
17; 16; 17
18; 17; 18
19; 18; 19
20; 19; 16
21; 20; 0
22; 3; 21
23; 21; 20
24; 22; 7
25; 7; 23
26; 23; 19
27; 19; 22
28; 17; 24
29; 24; 18
30; 25; 15
31; 15; 10
32; 10; 5
33; 5; 25
34; 13; 6
35; 6; 9
36; 8; 26
37; 26; 24
38; 24; 25
39; 25; 4
40; 23; 27
41; 27; 16
42; 21; 27
43; 27; 28
44; 28; 20
45; 19; 26
46; 26; 22

# Id Frattura
9
#Id; Origin; End
0; 0; 1
1; 1; 2
2; 2; 0
3; 3; 4
4; 4; 5
5; 5; 3
6; 6; 7
7; 7; 8
8; 8; 9
9; 9; 10
10; 10; 6
11; 11; 3
12; 5; 12
13; 12; 13
14; 13; 11
15; 2; 14
16; 14; 7
17; 7; 0
18; 10; 4
19; 4; 1
20; 1; 6
21; 13; 15
22; 15; 14
23; 14; 11

