# Id Frattura
0
# Id; X; Y; Z
8; 1.0881373072504230e+00; 4.4643030077661350e-01; 3.5788140881654379e-01
9; 1.1703576393608155e+00; 8.4910901010356454e-01; 1.9471648379405543e-02
10; 6.9639825269435796e-01; 9.4588367753926827e-01; 1.9471648379405543e-02
11; 4.3337785234321080e-01; 7.4711687442812069e-01; 2.2315579343986944e-01
12; 4.3699853418290985e-01; 7.3542358387880891e-01; 2.3199306845957149e-01
13; 5.8999373703027480e-01; 4.4144071538923318e-01; 4.4396472304581652e-01
14; 7.1251421562779127e-01; 4.1642406015695266e-01; 4.4396472304581652e-01
15; 1.9657573704958367e-01; 5.5047288391848592e-01; 4.2080846373668890e-01
16; 2.2958430450109249e-01; 5.1503036031433225e-01; 4.4396472304581652e-01
17; 2.7533021843380129e-01; 5.0568980132990671e-01; 4.4396472304581652e-01
18; 4.4649687239240865e-01; 7.0474791743347176e-01; 2.5517638881297255e-01
19; 4.3699853418290985e-01; 7.3542358387880902e-01; 2.3199306845957152e-01
20; 4.3160882354145319e-01; 7.4578000398359467e-01; 2.2452573705866191e-01
21; 1.9754663495666167e-01; 5.6889717325226874e-01; 4.0578451664087628e-01
22; 1.9754663495666164e-01; 5.6889717325226874e-01; 4.0578451664087628e-01
23; 2.2251146962230522e-01; 1.0426435205218632e+00; 1.9471648379405543e-02
24; 4.5052494362650031e-01; 7.0943235948363381e-01; 2.5073362592155507e-01
25; 4.4649687239240859e-01; 7.0474791743347176e-01; 2.5517638881297250e-01
26; 5.2384452670666137e-01; 4.5494729002472434e-01; 4.4396472304581652e-01
27; 1.8690582861362076e-01; 5.6085582339306628e-01; 4.1402480347734483e-01
28; 1.8889537283905738e-01; 1.0495073714723975e+00; 1.9471648379405543e-02
29; 1.0672224297482156e+00; 3.4399850973236856e-01; 4.4396472304581658e-01

# Id Frattura
4
# Id; X; Y; Z
0; 4.3389270318947720e-01; 7.4451605776145224e-01; 2.2290023647722471e-01
1; 5.1237434340181220e-01; 3.4805879373648080e-01; 1.8394423642110358e-01
2; 8.5173955844049165e-01; 3.4560801166812372e-01; -6.6465853981275497e-02
3; 8.4046119807246511e-01; 5.1951264587238688e-01; -6.6465853981275497e-02
4; 4.3160882354145347e-01; 7.4578000398359434e-01; 2.2452573705866202e-01
5; 4.3337785234321091e-01; 7.4711687442812047e-01; 2.2315579343986952e-01
6; 3.8093142506468197e-01; 1.0120548524122017e+00; 2.4918867219314270e-01
7; 3.0948801747596738e-01; 1.0074214825173036e+00; 3.0215171453688017e-01
8; 3.2254187386143862e-01; 8.0613990916857237e-01; 3.0215171453688017e-01
9; 8.0737064217206755e-01; 1.0297464770051699e+00; -6.6465853981275497e-02
10; 8.0672711150466425e-01; 1.0396692815319040e+00; -6.6465853981275497e-02
11; 4.3337785234321080e-01; 7.4711687442812080e-01; 2.2315579343986955e-01
12; 4.4380389333985415e-01; 6.9444876406551748e-01; 2.1798061039640251e-01
13; 4.3389270318947726e-01; 7.4451605776145224e-01; 2.2290023647722473e-01
14; 4.3160882354145341e-01; 7.4578000398359434e-01; 2.2452573705866205e-01
15; 3.3136923116714651e-01; 6.7002807259422181e-01; 3.0215171453688017e-01
16; 3.3813027232799087e-01; 5.6577742342629356e-01; 3.0215171453688017e-01
17; 5.6302451365257988e-01; 9.2194774257664494e-02; 1.5880296733201371e-01
18; 8.6689626092990846e-01; 1.1190198382765304e-01; -6.6465853981275497e-02
19; 3.5217510316560729e-01; 3.4921569906424282e-01; 3.0215171453688022e-01
20; 3.6965716690121142e-01; 7.9654184813052531e-02; 3.0215171453688022e-01
21; 5.1237434340181220e-01; 3.4805879373648085e-01; 1.8394423642110358e-01

# Id Frattura
5
# Id; X; Y; Z
0; 5.3871472682977362e-01; 9.0578995757518210e-02; 7.7975750607361827e-01
1; 3.0402074433500714e-01; -1.3008002707136235e-01; 7.7975750607361827e-01
2; 4.1092145039500427e-02; 1.4957207729006705e-01; 5.9517393895398174e-01
3; 2.0617557729799887e-01; 3.0478333775862321e-01; 5.9517393895398174e-01
4; 6.2034977934899938e-01; 1.9865374303815053e-01; 7.6878404954468493e-01
5; 6.2705801161129338e-01; 1.7363925442358075e-01; 7.7975750607361827e-01
6; 4.2509941631366949e-01; 5.1061528912628229e-01; 5.9517393895398174e-01
7; 5.1998413976991997e-01; 5.7290959023900045e-01; 6.0460398841141139e-01
8; 7.6948017985216643e-01; 3.0754441952044154e-01; 7.7975750607361827e-01
9; 5.0655158055665961e-01; 5.8719652388187082e-01; 5.9517393895398174e-01

# Id Frattura
6
# Id; X; Y; Z
0; 3.2840547004067311e-01; 1.3378489263460687e+00; 3.7271567372756131e-01
1; 3.3813088402393660e-01; 1.3959356553363300e+00; 3.6916774655030959e-01
2; 3.1218824932854605e-01; 1.4032188590981776e+00; 3.5408161311703601e-01
3; 3.6406877365289153e-01; 6.3602167408341148e-01; 4.9814684870238929e-01
4; 4.2436810703245781e-01; 5.4440696714881831e-01; 5.4451429376263860e-01
5; 4.7792178843098765e-01; 7.3516417215703633e-01; 5.4451429376263860e-01
6; 4.6649432405845714e-01; 7.8122709445548033e-01; 5.3138380318584599e-01
7; 2.4196095331616008e-01; 8.2154399327977157e-01; 4.0425148811439271e-01
8; 4.5815734863136615e-02; 1.4780009821241009e+00; 1.9918095081476878e-01
9; -2.4726518440997755e-02; 1.2267308037933202e+00; 1.9918095081476878e-01
10; 6.3966284644145355e-01; 1.3112827760593166e+00; 5.4451429376263871e-01
11; 3.2840547004067322e-01; 1.3378489263460696e+00; 3.7271567372756131e-01
12; 2.5754563826212695e-01; 4.8500723879338348e-01; 4.6358023335691245e-01
13; 2.4196095331616002e-01; 8.2154399327977146e-01; 4.0425148811439277e-01
14; 1.9657573704958395e-01; 5.5047288391848548e-01; 4.2080846373668906e-01
15; -1.1934777251785766e-01; 8.8969167799066784e-01; 1.9918095081476878e-01
16; -2.4078841883340674e-01; 4.5712238190149840e-01; 1.9918095081476878e-01
17; 1.5875417021688848e-01; 3.4495374052188993e-01; 4.3152253375196081e-01
18; 1.6322765527165925e-01; 3.5129565692198828e-01; 4.3297417368515234e-01
19; 1.9657573704958400e-01; 5.5047288391848559e-01; 4.2080846373668901e-01
20; 1.6322765527165922e-01; 3.5129565692198822e-01; 4.3297417368515234e-01
21; 1.6201266918903190e-01; 3.4403894091689419e-01; 4.3341741262078576e-01
22; 3.5305869274491009e-01; 2.9040417583671407e-01; 5.4451429376263860e-01

# Id Frattura
7
# Id; X; Y; Z
0; 4.4692175587922606e-01; 7.0637286144857370e-01; 2.6104493502892923e-01
1; 4.5973894174920948e-01; 7.5539149859516119e-01; 4.3807758037819533e-01
2; 4.7555545396717502e-01; 7.4375968596190478e-01; 2.5236863514713970e-01
3; 4.4995360538545259e-01; 7.0894723121709746e-01; 2.5236863514713970e-01
4; 2.8961021409758325e-01; 5.7279826397240396e-01; 7.1122628755355455e-01
5; 2.1090343293491920e-01; 4.5132058225462024e-01; 6.3021969647921461e-01
6; 2.5465905811820355e-01; 5.4312093363543013e-01; 8.1124665791478623e-01
7; 1.8892031869884121e-01; 4.0519948118788496e-01; 5.3927055893681386e-01
8; 1.6322765527165858e-01; 3.5129565692198722e-01; 4.3297417368515201e-01
9; -4.7035123936556525e-02; 5.3212853142693251e-02; 3.6474418229690159e-01
10; 1.5687612685261965e-01; 3.6793371526064655e-01; 5.7461371404662165e-01
11; 2.8961021409758320e-01; 5.7279826397240385e-01; 7.1122628755355455e-01
12; 3.6406877365289153e-01; 6.3602167408341148e-01; 4.9814684870238940e-01
13; 2.5754563826212690e-01; 4.8500723879338337e-01; 4.6358023335691251e-01
14; -4.7035123936556567e-02; 5.3212853142693139e-02; 3.6474418229690153e-01
15; -1.5622028381365988e-01; -1.1530579167958915e-01; 2.5236863514713970e-01
16; -2.0816650937053482e-01; -1.8594036404610537e-01; 2.5236863514713970e-01
17; -2.1314652208797411e-01; -1.8227795263439792e-01; 3.1084125516904287e-01
18; 1.1957389128188395e-01; 2.5970901276892433e-01; 2.5236863514713970e-01
19; 4.5218760555362814e-01; 7.6094491811947063e-01; 5.2674129211444076e-01
20; 4.4692175587922606e-01; 7.0637286144857359e-01; 2.6104493502892911e-01
21; -2.4464138903240015e-01; -9.9010741771173097e-02; 1.0174676300177388e+00
22; 1.8259712377264431e-01; 4.8193251882144805e-01; 1.0174676300177388e+00
23; 1.5687612685261970e-01; 3.6793371526064661e-01; 5.7461371404662165e-01
24; 4.4649687239240865e-01; 7.0474791743347165e-01; 2.5517638881297244e-01
25; 4.4904254769630669e-01; 7.0770840838475157e-01; 2.5236863514713970e-01
26; 3.0450427171905586e-01; 6.4769738761231987e-01; 1.0174676300177388e+00
27; 4.1039328536367614e-01; 7.9168138485021100e-01; 1.0174676300177388e+00
28; 4.2463911988247266e-01; 7.8120468330922288e-01; 8.5020073413301722e-01
29; 2.5754563826212701e-01; 4.8500723879338353e-01; 4.6358023335691251e-01
30; 1.6322765527165861e-01; 3.5129565692198728e-01; 4.3297417368515212e-01
31; -2.7332867797403376e-01; -1.3801866515779926e-01; 1.0174676300177388e+00
32; 4.4629359067258173e-01; 7.0397047744283647e-01; 2.5236863514713970e-01
33; 1.7080192401472588e-01; 3.6203345498597839e-01; 4.3543201378912988e-01
34; 4.0063103571889258e-01; 6.4188020990674766e-01; 2.5236863514713970e-01

# Id Frattura
8
# Id; X; Y; Z
0; 3.8328262212866399e-01; 8.9267957381140683e-01; 7.4730885127456237e-02
1; 3.7256732320525127e-01; 9.4350949248998561e-01; 7.4730885127456237e-02
2; 4.3337785234321080e-01; 7.4711687442812069e-01; 2.2315579343986958e-01
3; 4.3389270318947720e-01; 7.4451605776145224e-01; 2.2290023647722476e-01
4; 4.6532159668556783e-01; 7.7674206176993910e-01; 5.1518593953604908e-01
5; 4.9582830420699819e-01; 6.6298486641280074e-01; 5.6508940377788253e-01
6; 5.6648985957862952e-01; 3.7815547395415716e-01; 6.4628159626277226e-01
7; 5.5953585292508035e-01; 3.7668952118568294e-01; 5.9074125960256862e-01
8; 4.4692175587922600e-01; 7.0637286144857370e-01; 2.6104493502892895e-01
9; 4.9582830420699819e-01; 6.6298486641280086e-01; 5.6508940377788253e-01
10; 3.2768093767931256e-01; 1.3407694410618525e+00; 3.7188316486703971e-01
11; 3.7254054446501084e-01; 1.3502261568857574e+00; 7.3016836467345569e-01
12; 5.7699302143811870e-01; 3.8036961322274593e-01; 7.3016836467345581e-01
13; 5.7190591954962644e-01; 3.7929721690958745e-01; 6.8953864347993210e-01
14; 2.9047556488748671e-01; 1.3329262907797839e+00; 7.4730885127456237e-02
15; 3.1633348531275762e-01; 1.3383773195065201e+00; 2.8125320776850593e-01
16; 4.4380389333985415e-01; 6.9444876406551759e-01; 2.1798061039640254e-01
17; 4.3389270318947726e-01; 7.4451605776145224e-01; 2.2290023647722473e-01
18; 4.3699853418290990e-01; 7.3542358387880880e-01; 2.3199306845957160e-01
19; 4.4649687239240865e-01; 7.0474791743347165e-01; 2.5517638881297255e-01
20; 4.3343259514807819e-01; 6.5478429263171312e-01; 7.4730885127456237e-02
21; 4.4380389333985404e-01; 6.9444876406551759e-01; 2.1798061039640254e-01
22; 4.4692175587922606e-01; 7.0637286144857359e-01; 2.6104493502892900e-01
23; 5.4877825893165433e-01; 3.7442174586097349e-01; 5.0482238983218697e-01
24; 4.3337785234321086e-01; 7.4711687442812058e-01; 2.2315579343986955e-01
25; 3.2092262189042042e-01; 1.3151948716512680e+00; 2.7897529405144678e-01
26; 4.3699853418290985e-01; 7.3542358387880902e-01; 2.3199306845957146e-01
27; 5.0882296823656481e-01; 3.6599889383799433e-01; 1.8570703560270052e-01
28; 4.9492804186059458e-01; 3.6306974711677248e-01; 7.4730885127456237e-02

# Id Frattura
9
# Id; X; Y; Z
0; 1.8043441432357615e-01; 3.2136444974210898e-01; 5.8088570946185425e-01
1; 1.4252492023647789e-01; 3.4578376472488742e-01; 5.5984316558047964e-01
2; 2.1090343293491920e-01; 4.5132058225462018e-01; 6.3021969647921461e-01
3; 1.4252492023647786e-01; 3.4578376472488737e-01; 5.5984316558047964e-01
4; 6.4940013283212708e-02; 2.2603760697649444e-01; 4.7999122984809550e-01
5; -1.3334698210845791e-03; 4.3844982172000246e-01; 4.7999122984809550e-01
6; 1.8043441432357626e-01; 3.2136444974210887e-01; 5.8088570946185436e-01
7; 4.5619117408804372e-01; 1.4373635584436911e-01; 7.3395089425692905e-01
8; 4.9762876778633297e-01; 1.0925303236142381e-02; 7.3395089425692905e-01
9; 1.6448621719130441e-01; -9.3016540338354381e-02; 4.7999122984809550e-01
10; 1.1812127153923969e-01; 5.5587099173371457e-02; 4.7999122984809550e-01
11; 2.1090343293491925e-01; 4.5132058225462024e-01; 6.3021969647921472e-01
12; -2.8340281548114132e-02; 5.2500897665488655e-01; 4.7999122984809550e-01
13; 2.4842593893069370e-01; 6.1136117376789700e-01; 6.9097435508069727e-01
14; 3.1168966001783827e-01; 6.0687613965712428e-01; 7.3395089425692905e-01
15; 3.0480226904691443e-01; 6.2895082022938342e-01; 7.3395089425692905e-01

