# Id Frattura
0
# Id; X; Y; Z
0; 4.5052494362650031e-01; 7.0943235948363381e-01; 2.5073362592155507e-01
1; 4.3699853418291013e-01; 7.3542358387880835e-01; 2.3199306845957191e-01
2; 4.4692175587922606e-01; 7.0637286144857359e-01; 2.6104493502892884e-01
3; 2.4059515706148693e-01; 8.5149091669905685e-01; 3.6047546899585886e-01
4; 2.4196095331616002e-01; 8.2154399327977157e-01; 4.0425148811439282e-01
5; 3.6406877365289164e-01; 6.3602167408341148e-01; 4.9814684870238940e-01
6; 4.4692175587922611e-01; 7.0637286144857347e-01; 2.6104493502892889e-01
7; 4.3699853418291018e-01; 7.3542358387880813e-01; 2.3199306845957207e-01
8; 4.3160882354145325e-01; 7.4578000398359434e-01; 2.2452573705866211e-01
9; 2.4797594176399801e-01; 6.8965726581293585e-01; 5.9704177318758545e-01
10; 3.2951089390531968e-01; 6.0667827801321628e-01; 5.9704177318758545e-01
11; 3.6406877365289159e-01; 6.3602167408341148e-01; 4.9814684870238940e-01
12; 4.3389270318947731e-01; 7.4451605776145213e-01; 2.2290023647722465e-01
13; 5.9471705550266241e-01; 4.3236477910195226e-01; 4.5050878202999678e-01
14; 6.7949650570084286e-01; 5.1566886122886846e-01; 1.9054542365205804e-01
15; 4.7935223692995660e-01; 7.1935781179987623e-01; 1.9054542365205804e-01
16; 4.3389270318947731e-01; 7.4451605776145213e-01; 2.2290023647722462e-01
17; 5.5413802687121005e-01; 3.9249192399563859e-01; 5.7493823442780523e-01
18; 4.9267836198218673e-01; 4.4062101070294674e-01; 5.9704177318758545e-01
19; 5.4692960382582068e-01; 3.8540894499571632e-01; 5.9704177318758545e-01
20; 3.5266861703334351e-01; 6.2634170200777617e-01; 5.3077088803133088e-01
21; 4.2720007341802863e-01; 5.0725896124094927e-01; 5.9704177318758545e-01
22; 2.3529339997712184e-01; 9.6773908537714359e-01; 1.9054542365205804e-01
23; 2.0959413133064569e-01; 9.9389350435296486e-01; 1.9054542365205804e-01
24; 1.6036270461720403e-01; 9.4551882387821684e-01; 3.4150614581109762e-01
25; 7.7027229455623514e-02; 8.6363358811981283e-01; 5.9704177318758545e-01
26; 4.0708278513028845e-01; 7.9290720137678994e-01; 1.9054542365205804e-01
27; 4.2284129691097044e-01; 7.7686959636876241e-01; 1.9054542365205804e-01

# Id Frattura
1
# Id; X; Y; Z
0; 5.5471520740420799e-01; 3.4775302217929877e-01; 1.5270184883183249e-01
1; 5.5952856500448900e-01; 3.0734730003609312e-01; -8.6619310585948128e-02
2; 8.7905228423132276e-01; 3.4541076829832673e-01; -8.6619310585948128e-02
3; 9.3219301223688023e-01; 4.3397286100839821e-01; 3.9361989787461210e-01
4; 5.4986973228940383e-01; 3.8842835474323800e-01; 3.9361989787461216e-01
5; 1.2850957640097640e+00; 3.9378095860229478e-01; -8.6619310585948128e-02
6; 1.2770263671048381e+00; 4.6151949711949247e-01; 3.1459281273029660e-01
7; 1.2754369312946789e+00; 4.7486201330943967e-01; 3.9361989787461205e-01

# Id Frattura
2
# Id; X; Y; Z
0; 2.0417828776973185e-01; 6.9474304159586153e-01; 3.0316445711141893e-01
1; 2.3880707383785371e-01; 8.9069705098316809e-01; 3.0316445711141893e-01
2; 2.4196095331615988e-01; 8.2154399327977168e-01; 4.0425148811439260e-01
3; 1.9657573704958375e-01; 5.5047288391848581e-01; 4.2080846373668879e-01
4; 2.1090343293491923e-01; 4.5132058225462024e-01; 6.3021969647921472e-01
5; 2.5465905811820350e-01; 5.4312093363543024e-01; 8.1124665791478656e-01
6; 2.5843373736902314e-01; 4.6035600433510726e-01; 9.3223134394306229e-01
7; 2.3167378221223053e-01; 3.0892937061821679e-01; 9.3223134394306229e-01
8; 1.7967345488367059e-01; 3.1811881367255040e-01; 5.7965360009831002e-01
9; 2.4196095331615985e-01; 8.2154399327977146e-01; 4.0425148811439265e-01
10; 3.1586681094161595e-01; 1.2629596008899404e+00; 3.7728990053789518e-01
11; 3.9771297738018352e-01; 1.2484958325957427e+00; 9.3223134394306229e-01
12; 2.8390199813548167e-01; 6.0447332336244608e-01; 9.3223134394306229e-01
13; 1.5830512743073910e-01; 3.2189500198487320e-01; 4.3476996051105299e-01
14; 1.4992041146307894e-01; 3.2337674015595691e-01; 3.7791908301603716e-01
15; 1.6322765527165869e-01; 3.5129565692198716e-01; 4.3297417368515201e-01
16; 3.0493433607942311e-01; 1.2648915763283695e+00; 3.0316445711141893e-01
17; 2.5103858812367535e-01; 6.2250461718046002e-01; 6.9520463249828013e-01
18; 2.1090343293491920e-01; 4.5132058225462018e-01; 6.3021969647921461e-01
19; 1.9657573704958375e-01; 5.5047288391848592e-01; 4.2080846373668879e-01
20; 1.8892031869884124e-01; 4.0519948118788485e-01; 5.3927055893681386e-01
21; 1.6322765527165872e-01; 3.5129565692198722e-01; 4.3297417368515212e-01
22; 1.3889514091147021e-01; 3.2532511435084366e-01; 3.0316445711141893e-01

# Id Frattura
3
# Id; X; Y; Z
0; 4.3160882354145313e-01; 7.4578000398359467e-01; 2.2452573705866197e-01
1; 4.3337785234321075e-01; 7.4711687442812091e-01; 2.2315579343986933e-01
2; 3.4992729960937552e-01; 1.0166273155052918e+00; 1.9471648379405543e-02
3; 2.8360652600124170e-01; 1.0301689205258133e+00; 1.9471648379405543e-02
4; 1.9657573704958370e-01; 5.5047288391848581e-01; 4.2080846373668890e-01
5; 1.0670416926497704e-01; 6.4697132079332265e-01; 3.5776151899437569e-01
6; 8.5760163226457409e-02; 5.4439687110120150e-01; 4.4396472304581652e-01
7; 1.9507930182150357e-01; 5.2207571114633344e-01; 4.4396472304581652e-01
