# Id Frattura
80
# Id; X; Y; Z
0; 8.8817841970012523e-16; 1.0000000000000000e+01; -6.6613381477509392e-16
1; 1.4142135623730951e+00; 1.0000000000000000e+01; -1.4142135623730949e+00
2; 1.4142135623730951e+00; 0.0000000000000000e+00; -1.4142135623730949e+00
3; 0.0000000000000000e+00; 0.0000000000000000e+00; 2.2204460492503131e-16
4; -1.4142135623730949e+00; 0.0000000000000000e+00; 1.4142135623730951e+00
5; -1.4142135623730949e+00; 1.0000000000000000e+01; 1.4142135623730951e+00

# Id Frattura
81
# Id; X; Y; Z
0; 8.8817841970012523e-16; 1.0000000000000000e+01; 6.6613381477509392e-16
1; 1.4142135623730951e+00; 1.0000000000000000e+01; 1.4142135623730949e+00
2; 1.4142135623730951e+00; 0.0000000000000000e+00; 1.4142135623730949e+00
3; 0.0000000000000000e+00; 0.0000000000000000e+00; -2.2204460492503131e-16
4; -1.4142135623730949e+00; 0.0000000000000000e+00; -1.4142135623730951e+00
5; -1.4142135623730949e+00; 1.0000000000000000e+01; -1.4142135623730951e+00

