# FractureId; NumTraces
0; 112
# TraceId; Tips; Length
175; 1; 1.2805108048354343e+00
177; 1; 1.2196218854387717e+00
149; 1; 1.1817039631278778e+00
179; 1; 1.1699395358269775e+00
116; 1; 1.0834608041328424e+00
144; 1; 1.0521073256948923e+00
135; 1; 1.0328059340852553e+00
148; 1; 1.0272281451091860e+00
156; 1; 1.0238519391210832e+00
137; 1; 1.0149089096304320e+00
169; 1; 1.0023628990661246e+00
114; 1; 9.8967480322363066e-01
150; 1; 9.5469727530444981e-01
127; 1; 9.0595120776100890e-01
126; 1; 9.0476800464899942e-01
195; 1; 8.9544299236705116e-01
184; 1; 8.6843983038869421e-01
125; 1; 8.1786227801855338e-01
158; 1; 8.1770897109152818e-01
115; 1; 7.9235959921702648e-01
180; 1; 7.8951598968818171e-01
199; 1; 7.8818040715355264e-01
182; 1; 7.6915197588761264e-01
146; 1; 7.5130754320252158e-01
170; 1; 7.3787940414696351e-01
202; 1; 7.2887260685613331e-01
138; 1; 7.2210453977177169e-01
123; 1; 7.1561267798328876e-01
112; 1; 7.0834150443094812e-01
131; 1; 7.0709705843697102e-01
176; 1; 6.7803165171353219e-01
203; 1; 6.7538901933441431e-01
0; 1; 6.5583555096543489e-01
200; 1; 6.4839517486336706e-01
159; 1; 6.4201284597869301e-01
145; 1; 6.4118389313875968e-01
120; 1; 6.3329747823003268e-01
142; 1; 6.2883807425354910e-01
189; 1; 6.2785364906676022e-01
191; 1; 6.2480712234865587e-01
121; 1; 6.1897050683342092e-01
167; 1; 6.1121064246158519e-01
186; 1; 6.0183835539246366e-01
185; 1; 5.9553274582356941e-01
161; 1; 5.9083293131750303e-01
174; 1; 5.7323013899504227e-01
119; 1; 5.7291049214683665e-01
187; 1; 5.7014701796835177e-01
143; 1; 5.4368336547355944e-01
166; 1; 5.1861532321703696e-01
152; 1; 4.9519263217526904e-01
171; 1; 4.8710869810538676e-01
129; 1; 4.8336602507558674e-01
194; 1; 4.5281556800202849e-01
155; 1; 4.3540292125905411e-01
141; 1; 4.2016540238904543e-01
153; 1; 4.1833661388415017e-01
122; 1; 4.1159607063205478e-01
118; 1; 4.0222112165741980e-01
183; 1; 3.9373343715829129e-01
130; 1; 3.8304740135068505e-01
178; 1; 3.7257110359412060e-01
163; 1; 3.2258555509792813e-01
165; 1; 3.0177888149708831e-01
136; 1; 2.9553377852364671e-01
201; 1; 2.8577236580410736e-01
134; 1; 2.7978751042682848e-01
172; 1; 2.7931738712559090e-01
140; 1; 2.7221911428758910e-01
173; 1; 2.6761799655177992e-01
147; 1; 2.6333520567623875e-01
117; 1; 2.4926543215230745e-01
160; 1; 2.4866281776757293e-01
151; 1; 2.3228054547282764e-01
197; 1; 2.2660883643460111e-01
168; 1; 2.2501803990841837e-01
193; 1; 1.7934762325931125e-01
192; 1; 1.7598631797626355e-01
128; 1; 1.6544978158690443e-01
113; 1; 1.3559431734942970e-01
139; 1; 1.2196387142146721e-01
154; 1; 1.1029498263844013e-01
164; 1; 7.6435133956487697e-02
132; 1; 4.9104802578862329e-02
190; 1; 4.1317942756580822e-02
188; 1; 2.7138712605173129e-02
198; 1; 9.1591070893159970e-03
# FractureId; NumTraces
2; 125
# TraceId; Tips; Length
296; 0; 1.3390345486219215e+00
273; 0; 9.4220438029916320e-01
306; 0; 6.9811656552387791e-01
253; 0; 6.2997678892327569e-01
231; 0; 4.8719600027418536e-01
209; 0; 4.6507552560716592e-01
291; 0; 4.4121646443908563e-01
289; 0; 3.2281203858564478e-01
250; 0; 2.7972544189001919e-01
321; 0; 1.7627245855937385e-01
242; 0; 1.0246212373323110e-01
217; 0; 9.5327636378489955e-02
299; 0; 9.4863278487964109e-02
224; 0; 3.7913364337225787e-02
320; 1; 1.2413674607989769e+00
269; 1; 1.2092825131761049e+00
232; 1; 1.1935183594819210e+00
236; 1; 1.1407952027012436e+00
279; 1; 1.0966728532493748e+00
293; 1; 1.0664198016524138e+00
300; 1; 9.1043867653313804e-01
287; 1; 8.9545097644723926e-01
221; 1; 8.8733534363662203e-01
219; 1; 8.7094664539316413e-01
302; 1; 8.6607522195864672e-01
265; 1; 8.5219703798192092e-01
267; 1; 8.4912537354854534e-01
274; 1; 8.1766421832732394e-01
305; 1; 8.1600383200851634e-01
213; 1; 7.8260786218127587e-01
325; 1; 7.7776517772376585e-01
309; 1; 7.7653996044375351e-01
285; 1; 7.7615716921974509e-01
298; 1; 7.6349680899479122e-01
280; 1; 7.5710736795654521e-01
261; 1; 7.3739749058760906e-01
271; 1; 7.0666014333935367e-01
294; 1; 7.0156769753388148e-01
246; 1; 6.9966864204049894e-01
275; 1; 6.9121345836501724e-01
206; 1; 6.8583341698663802e-01
247; 1; 6.7366096382779550e-01
295; 1; 6.6845005645012268e-01
207; 1; 6.6724481905364674e-01
228; 1; 6.6575454699531267e-01
239; 1; 6.5472247423844299e-01
312; 1; 6.5231544469575442e-01
315; 1; 6.5032751063500038e-01
258; 1; 6.4641401346451988e-01
218; 1; 6.3464190711791357e-01
256; 1; 6.3385519316084649e-01
237; 1; 6.0389458133769158e-01
301; 1; 5.9395221252618202e-01
233; 1; 5.8622546847866963e-01
225; 1; 5.6921976690799714e-01
234; 1; 5.6138133935497347e-01
270; 1; 5.5812859223531297e-01
304; 1; 5.3498594384071396e-01
227; 1; 5.1901211875880404e-01
319; 1; 5.1885227155699210e-01
259; 1; 5.1551519312380101e-01
226; 1; 4.9614027798605498e-01
264; 1; 4.8553135302186107e-01
230; 1; 4.8169254776615833e-01
303; 1; 4.7965440267508541e-01
255; 1; 4.7827659452925780e-01
307; 1; 4.7816331638794707e-01
262; 1; 4.7111333106558534e-01
240; 1; 4.6886437799452763e-01
244; 1; 4.6087612885944523e-01
263; 1; 4.5750177748253956e-01
316; 1; 4.5040210784581142e-01
276; 1; 4.4985044573489530e-01
318; 1; 4.4813107731000346e-01
266; 1; 4.4040926963849014e-01
243; 1; 4.2968373613521549e-01
292; 1; 4.0570183905071722e-01
284; 1; 4.0050034247755173e-01
324; 1; 3.9770765593514312e-01
229; 1; 3.9674431758826612e-01
254; 1; 3.9670798117943973e-01
222; 1; 3.8251207442205404e-01
327; 1; 3.7408342662326283e-01
322; 1; 3.6681551826413433e-01
241; 1; 3.6304826990909000e-01
290; 1; 3.5930771644661674e-01
235; 1; 3.4897437890832023e-01
283; 1; 3.3054565247502948e-01
216; 1; 3.1931114307824682e-01
311; 1; 3.1550302812849423e-01
204; 1; 3.1024055341972556e-01
317; 1; 3.0962912838206486e-01
252; 1; 3.0394857850455720e-01
215; 1; 2.8573888137025621e-01
212; 1; 2.7825281285681069e-01
323; 1; 2.7603430207914381e-01
220; 1; 2.7498048409784570e-01
288; 1; 2.6566558089147885e-01
308; 1; 2.6337633705278202e-01
314; 1; 2.6048421287760926e-01
277; 1; 2.5902889802026391e-01
248; 1; 2.5313630507508861e-01
326; 1; 2.4884495473868795e-01
282; 1; 2.4177006385032190e-01
205; 1; 2.3609980700220060e-01
278; 1; 2.3595270933931470e-01
310; 1; 2.2322036983488774e-01
272; 1; 2.1022037871050991e-01
281; 1; 1.9839119412526840e-01
286; 1; 1.9565944550866857e-01
260; 1; 1.8577683906295814e-01
297; 1; 1.8447342256153912e-01
1; 1; 1.7923457329795650e-01
313; 1; 1.7770144450320602e-01
251; 1; 1.4520608268236412e-01
245; 1; 1.2726016988879665e-01
208; 1; 9.9507476170816192e-02
249; 1; 8.3660507538484516e-02
257; 1; 8.2041119424973885e-02
211; 1; 6.8185962265081820e-02
238; 1; 6.6576259913041252e-02
223; 1; 5.8848005639543365e-02
214; 1; 2.2793731539046857e-02
268; 1; 1.6473065891137135e-02
210; 1; 1.4372924640423930e-02
# FractureId; NumTraces
3; 146
# TraceId; Tips; Length
387; 0; 8.5589174916395749e-01
400; 0; 5.8280411719578873e-01
427; 0; 5.1570307554392469e-01
447; 0; 3.3053545648001359e-01
429; 0; 2.9605759094540857e-01
371; 0; 2.9468895421063801e-01
436; 0; 2.5674740471394253e-01
442; 0; 2.3042279644087604e-01
336; 0; 7.5921123753327227e-02
457; 0; 3.5529350329216836e-02
452; 1; 1.2103034017233998e+00
459; 1; 1.1621910653627101e+00
374; 1; 1.1093373379240703e+00
341; 1; 1.1092520553405787e+00
391; 1; 1.0912267518920851e+00
345; 1; 1.0625340603550171e+00
343; 1; 1.0481666941896968e+00
349; 1; 1.0431667684289718e+00
386; 1; 1.0279220588413729e+00
399; 1; 1.0066458104255214e+00
353; 1; 9.9342525887331556e-01
340; 1; 9.8995231974655085e-01
378; 1; 9.7263573567460970e-01
394; 1; 9.5742602472270444e-01
381; 1; 9.5116737496334802e-01
449; 1; 9.3314731850494403e-01
441; 1; 9.0996171288409600e-01
331; 1; 9.0696518984142682e-01
355; 1; 8.9674522630547937e-01
425; 1; 8.9124889768291649e-01
364; 1; 8.9039756468738607e-01
422; 1; 8.8477195091401717e-01
461; 1; 8.7067624085469719e-01
363; 1; 8.7002392350916247e-01
347; 1; 8.6057566995597934e-01
456; 1; 8.5741443781880011e-01
458; 1; 8.4062573414313180e-01
437; 1; 8.3917170880458669e-01
435; 1; 8.3854111782639418e-01
389; 1; 8.3787163271005594e-01
393; 1; 8.3689500274181883e-01
351; 1; 8.3215529283971590e-01
446; 1; 8.2261065313154080e-01
431; 1; 8.2077149705754038e-01
401; 1; 8.1070213669080460e-01
384; 1; 8.0844580986826164e-01
332; 1; 8.0438514858681054e-01
357; 1; 8.0434754071899517e-01
383; 1; 8.0338205987588807e-01
354; 1; 7.8314510539918747e-01
454; 1; 7.7984180075652088e-01
406; 1; 7.7969356356026476e-01
468; 1; 7.7942563341801252e-01
373; 1; 7.6727536432965049e-01
358; 1; 7.5662190736293666e-01
2; 1; 7.5225517658242158e-01
328; 1; 7.4993966070649809e-01
463; 1; 7.3358822733299145e-01
410; 1; 7.3204998199381266e-01
370; 1; 7.2636002203535366e-01
339; 1; 7.1524730067342157e-01
112; 1; 7.0834150443094812e-01
417; 1; 7.0445172119209809e-01
434; 1; 7.0311429572121198e-01
408; 1; 7.0240007394084869e-01
414; 1; 6.8439079776980993e-01
375; 1; 6.7711644911227409e-01
368; 1; 6.7529030315681671e-01
445; 1; 6.7292979817022869e-01
380; 1; 6.7191159491438934e-01
379; 1; 6.6693436792128458e-01
360; 1; 6.6502585588367336e-01
397; 1; 6.6069886132650701e-01
365; 1; 6.5907610169858188e-01
439; 1; 6.5771344125659070e-01
402; 1; 6.5464354636953903e-01
356; 1; 6.5434918206551418e-01
438; 1; 6.5185882211469315e-01
335; 1; 6.5059289154085109e-01
420; 1; 6.3615231032354203e-01
337; 1; 6.2790199500505284e-01
404; 1; 6.1117106160949253e-01
418; 1; 6.0593784121998995e-01
361; 1; 6.0295263436039215e-01
430; 1; 5.9881187146016324e-01
333; 1; 5.9625629608366193e-01
359; 1; 5.9468640538930850e-01
460; 1; 5.8973932337535528e-01
467; 1; 5.8097853278559441e-01
469; 1; 5.6942817189233164e-01
466; 1; 5.6734169401036905e-01
395; 1; 5.6338077015084209e-01
465; 1; 5.6168041797608470e-01
338; 1; 5.6002488798685146e-01
423; 1; 5.5919381436252535e-01
369; 1; 5.5269305306173699e-01
405; 1; 5.4600267652726941e-01
440; 1; 5.4547324653502560e-01
330; 1; 5.4321132495536018e-01
