# Number of Traces
472
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 2; 5.4654852181428437e-01; 6.9052767800517723e-01; -9.0930588885243413e-02; 6.0654762549414709e-02; 1.0345903503281986e+00; 2.2650869811942531e-01
1; 0; 6; 5.2367529081676201e-01; 1.0735186819128366e+00; 4.6597960550042533e-02; 3.6781326790671787e-01; 6.8171494252089027e-01; -1.9404528350684166e-02
2; 0; 8; 4.1782091083768863e-01; 5.3004240780159440e-01; -9.0930588885243413e-02; 2.8248513440244249e-01; 5.2491838870804408e-01; -3.6254440306971891e-02
3; 0; 11; 1.6097959353991506e-01; 2.3056856008856841e-01; -8.4002032784752989e-02; 7.1815569848489885e-02; 5.8224085486615862e-01; 7.0680125497282836e-02
4; 0; 22; -2.0916890436406685e-01; 3.6573223147044065e-01; 1.1539565664922150e-01; -1.1231544745610714e-01; 7.6534186588019071e-01; 2.0859327620463811e-01
5; 0; 38; 3.6821996623174591e-02; 1.7031812661147017e-01; -5.2406984008583402e-02; 1.5149291593877615e-01; 6.2582168352711698e-01; 5.2046997701574380e-02
6; 0; 39; 3.2995350022406916e-01; 4.5531427352811710e-01; -7.9294657144429639e-02; 2.0351122525888593e-01; 1.0030330066471429e+00; 1.5643983507302264e-01
7; 1; 3; 4.5279596528031973e-01; 3.3617419485943995e-01; 6.7759570734018326e-01; -9.6835390357930332e-04; 8.3153831646382070e-01; 8.4919171765252854e-01
8; 1; 4; 4.5566810363402388e-01; 3.8173449625880196e-01; 6.9501869969472840e-01; 3.8631052466342103e-01; 6.1379397738286667e-01; 7.8067274338015546e-01
9; 1; 5; 2.2475099375301222e-01; 1.1681157113780474e+00; 9.8542638993839837e-01; 6.2282847980780554e-01; 3.7003769166801492e-01; 6.9672134289185716e-01
10; 1; 7; -1.4754722965866446e-01; 3.9427008050338952e-01; 6.7759570734018326e-01; -3.8296863823644184e-01; 6.5265985121711112e-01; 7.6714958980140191e-01
11; 1; 9; 2.4737078092931275e-01; 3.5605342080728519e-01; 6.7759570734018326e-01; 3.8178907118053834e-01; 6.6944388434470625e-01; 8.0165881330821975e-01
12; 1; 10; 5.8365501952545851e-01; 3.2351081711985608e-01; 6.7759570734018326e-01; 5.0961083307961719e-01; 7.0973632576159151e-01; 8.2167545877765991e-01
13; 1; 11; -7.0958593573146489e-02; 3.8685851211857164e-01; 6.7759570734018326e-01; -7.3415462871097403e-02; 3.9733272557026361e-01; 6.8148655805889713e-01
14; 1; 14; 6.9745247592223747e-01; 3.1249850937799600e-01; 6.7759570734018326e-01; 8.3212151409630164e-01; 3.8387255475346471e-01; 7.0967824647672995e-01
15; 1; 17; 8.6970752876353474e-01; 7.7227369332359597e-01; 8.5869098062460791e-01; 3.8808960525450209e-01; 9.2832248409340079e-01; 9.0028962219507558e-01
16; 1; 18; 8.2906501404763244e-01; 3.5228771902525091e-01; 6.9756050978110784e-01; 3.7726019182148801e-01; 4.5490379412566889e-01; 7.1994611849282852e-01
17; 1; 19; 8.7632886245431729e-01; 8.4069631187258387e-01; 8.8494178283666425e-01; 6.4053352900710436e-01; 1.1278799681823106e+00; 9.8542638993839837e-01
18; 1; 21; 8.2501555948069161e-01; 3.1044202779374652e-01; 6.8150612619801632e-01; 7.5849221411552592e-01; 4.0957655255191688e-01; 7.1674000133760329e-01
19; 1; 25; -2.7729411385841429e-01; 7.8273481981414861e-01; 8.2047770297365186e-01; -3.6786817254726545e-02; 9.5217799737434994e-01; 8.9372904543905862e-01
20; 1; 26; -6.2718862134331865e-02; 6.8592664831997152e-01; 7.9157377941339757e-01; 5.5938689219126114e-01; 6.6480779006532287e-01; 8.0642912824446256e-01
21; 1; 27; 8.2499036364008371e-01; 3.1018166251517182e-01; 6.8140623529094946e-01; 8.0147900848813958e-01; 3.3102859003747909e-01; 6.8846529129663991e-01
22; 1; 28; 5.6957841550485522e-01; 3.2487302591031181e-01; 6.7759570734018326e-01; 8.2218691665155441e-01; 4.3329187709551359e-01; 7.2809697927517969e-01
23; 1; 29; 6.9578898358420049e-01; 3.1265948740099170e-01; 6.7759570734018326e-01; 8.2896926429644568e-01; 3.5129827354378718e-01; 6.9718090230357577e-01
24; 1; 30; 8.8334043657939754e-01; 9.1315154282645694e-01; 9.1273972418024518e-01; 7.4317919471503169e-01; 7.5882469990203005e-01; 8.4892503301492628e-01
25; 1; 34; -1.4797090185180972e-01; 3.9431107973764579e-01; 6.7759570734018326e-01; 1.9772505182585154e-01; 1.1707310421502735e+00; 9.8542638993839837e-01
26; 1; 35; -3.5206503003725353e-02; 3.8339874213572989e-01; 6.7759570734018326e-01; 7.9281883252977581e-01; 6.6058617176359413e-01; 8.1341069975408509e-01
27; 1; 36; 6.5981327273671064e-01; 3.1614089736944812e-01; 6.7759570734018326e-01; 7.7108422904993268e-01; 4.0159554998409430e-01; 7.1416960880056668e-01
28; 1; 40; 8.4759839871950249e-01; 5.4380543570373696e-01; 7.7103758223532981e-01; 7.1794693722448444e-01; 1.1203885856714080e+00; 9.8542638993839837e-01
29; 1; 42; 2.0813666298046474e-01; 3.5985015049275976e-01; 6.7759570734018326e-01; 8.6684385759643257e-01; 9.6988203256510230e-01; 9.3369604633362657e-01
30; 1; 43; 8.6738234289919469e-01; 7.4824601055136153e-01; 8.4947259697540034e-01; 6.7003460018143002e-02; 7.0757113793562898e-01; 8.0457229578388478e-01
31; 1; 44; 3.8369156713745112e-01; 3.4286150512771091e-01; 6.7759570734018326e-01; 7.9465504659190478e-01; 8.3721762985273807e-01; 8.8061538259264283e-01
32; 1; 45; 1.0061783356846232e-01; 1.1801282167907834e+00; 9.8542638993839837e-01; 3.6013511649330698e-01; 3.4754451505014572e-01; 6.7850924299571491e-01
33; 1; 46; 7.1068703866665339e-01; 3.1121778586812865e-01; 6.7759570734018326e-01; 7.4354386912080228e-01; 4.3603949445264556e-01; 7.2624865775325165e-01
34; 1; 47; 6.0941598883678372e-01; 3.2101789916924928e-01; 6.7759570734018326e-01; 8.4160536768583116e-01; 4.8187548389660018e-01; 7.4727773570552503e-01
35; 1; 49; 2.0181360991185004e-02; 8.5657565059000318e-01; 8.5948627925244647e-01; -1.5414247797156524e-01; 5.9389730873264657e-01; 7.5323089079878869e-01
36; 2; 6; 7.6742058575228089e-01; 7.0093704895291475e-01; 1.8355588779262230e-02; 9.1175838116803409e-02; 8.6433129057765146e-01; -1.9404528350684166e-02
37; 2; 14; 6.1396519400573712e-01; 8.4509236854807590e-01; 1.7256629937814255e-01; 7.6343113989132871e-01; 8.6160258091136399e-01; 2.6091155030355956e-01
38; 2; 20; 3.8288654178433623e-01; 7.2782466517578581e-01; -1.0348505767099270e-01; 2.3647386637025924e-02; 1.0014082338993229e+00; 1.6040553214636352e-01
39; 2; 39; -4.8894081468948664e-02; 1.0172996151398501e+00; 1.5386778298294979e-01; 3.8997121064151918e-01; 8.5981481705771978e-01; 1.0016453088686034e-01
40; 2; 46; 7.5786323948337109e-01; 9.4618011957728321e-01; 3.8713045670184321e-01; 6.5519496031184099e-01; 7.6574584981653682e-01; 6.9389889643447777e-02
41; 3; 7; 3.3484651294720599e-02; 6.2574926615842397e-01; 3.7432569487161765e-01; -7.9471294926021702e-02; 7.4924754696803542e-01; 4.1755437961536235e-01
42; 3; 9; 3.4486165943068470e-01; 5.5017472040306958e-01; 9.8251063138572503e-01; 2.6596990992874736e-01; 4.3550608300484195e-01; 4.6094089157458656e-01
43; 3; 10; 6.3246421982423973e-01; 1.2877995748639948e-01; 5.7874580128221575e-01; 4.6256239646967984e-01; 4.2515064878956554e-01; 9.4752197896478507e-01
44; 3; 13; 5.7718272753536359e-01; 1.0707750898983137e-01; 3.7432569487161765e-01; 6.2840432616306074e-01; 1.2452417077193778e-01; 5.5642304916870855e-01
45; 3; 14; 3.1224546843333850e-01; 3.5981975642985614e-01; 3.7432569487161765e-01; 6.6914124170319422e-01; 1.6722667443640621e-01; 7.8040922796118584e-01
46; 3; 15; 3.3994559166575949e-01; 3.3339466460299572e-01; 3.7432569487161765e-01; 2.4287369216759555e-01; 4.7196266805997000e-01; 5.0054964574939609e-01
47; 3; 22; 5.8278696160203175e-02; 6.0209648646382585e-01; 3.7432569487161765e-01; 2.6662727485152438e-01; 4.7699664032329930e-01; 5.7660146622860120e-01
48; 3; 23; 4.1231632867588952e-01; 2.6435513885706247e-01; 3.7432569487161765e-01; 6.3146240131252962e-01; 1.2772980044578386e-01; 5.7323744363396800e-01
49; 3; 24; 4.1580194258415737e-01; 2.6102996709424681e-01; 3.7432569487161765e-01; 4.1672335544107542e-01; 3.3083705733965174e-01; 5.6843887957485695e-01
50; 3; 25; -2.1688286212104689e-02; 8.0981863117098951e-01; 7.3526609512833030e-01; 9.3902643182095180e-02; 5.9890663766892716e-01; 4.5889093718011675e-01
51; 3; 26; 3.1851330484109119e-01; 5.7531026524071016e-01; 9.8251063138572503e-01; 1.3403124285470047e-01; 6.8177122022003911e-01; 7.9157377941339757e-01
52; 3; 27; 5.9748131752917299e-01; 9.2109102718882771e-02; 3.8639725195665447e-01; 1.9411200291496777e-01; 5.5379878618693956e-01; 5.9753998727135693e-01
53; 3; 29; 4.8478551253827740e-01; 1.9522169774876241e-01; 3.7432569487161765e-01; 5.6377615770903056e-01; 3.4133681485665524e-01; 9.8251063138572492e-01
54; 3; 30; 3.2014038158363900e-02; 8.4862202515224028e-01; 9.8251063138572503e-01; 2.0592212244750002e-01; 6.3407385650068981e-01; 8.4892503301492628e-01
55; 3; 32; 6.5374745754723163e-01; 1.5109012812173947e-01; 6.9576867909946993e-01; 5.7055406464329583e-01; 2.1485050724090404e-01; 6.5291906350081497e-01
56; 3; 34; 1.0807580691825039e-02; 8.4388244913919175e-01; 9.1394003147948433e-01; 7.8946680751991849e-02; 6.8492025967562409e-01; 6.5591498944445692e-01
57; 3; 35; 3.6648084836838402e-02; 6.6255138612178466e-01; 4.8367642487354928e-01; 4.6947409717333954e-01; 3.9624474177036151e-01; 8.8624936661939768e-01
58; 3; 36; 6.5943902359007533e-01; 2.5007729250303201e-01; 9.8251063138572492e-01; 4.7539924944950201e-01; 2.1840924841263590e-01; 4.1341228254238283e-01
59; 3; 37; 6.6481559007976887e-01; 1.6269230672958865e-01; 7.5662524321241431e-01; 6.4628275197897089e-01; 2.6262798343337584e-01; 9.8251063138572492e-01
60; 3; 38; 3.6374705847172489e-01; 3.1068877478856133e-01; 3.7432569487161765e-01; 5.6225726496229878e-01; 2.2269400551940721e-01; 6.5272298628385006e-01
61; 3; 41; 4.4214322777795667e-01; 2.3590116624945623e-01; 3.7432569487161765e-01; 3.9329635137350916e-01; 3.7325695778694035e-01; 6.2355710275709164e-01
62; 3; 42; 4.6795995405387592e-01; 4.3274261687580140e-01; 9.8251063138572492e-01; 1.9707159750031017e-01; 5.0830760067339464e-01; 4.8036861102181955e-01
63; 3; 43; 2.2408580711597076e-01; 6.6539128319973662e-01; 9.8251063138572503e-01; 6.5669955931566368e-02; 7.2733894076092143e-01; 7.3762081487035069e-01
64; 3; 44; 3.3518874167628110e-01; 3.3793255769191322e-01; 3.7432569487161765e-01; 4.8522265175437185e-01; 4.1627451786817582e-01; 9.8251063138572492e-01
