# Number of Traces
8878
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
0; 0; 1; 9.4484545065182524e-01; 3.9767031338443604e-01; 1.1151029967997411e-01; 7.8302285504736502e-01; 8.0383492584217053e-01; 6.0034976724476596e-01
1; 0; 2; 5.2033811142091535e-01; 5.2037353700970468e-01; 7.1575364390421525e-01; 5.5640767590318763e-01; 4.0158764875456848e-01; 5.8647127258160203e-01
2; 0; 3; 8.4927465371300681e-01; 2.3616722686611816e-01; 1.1151029967997411e-01; 4.1324663174957044e-01; 3.3940189022299838e-01; 7.1575364390421525e-01
3; 0; 7; 7.6494720609248246e-01; 9.3664040692573780e-02; 1.1151029967997411e-01; 7.0742458730741453e-01; 1.0226675067458535e-01; 1.8761636881468213e-01
4; 0; 8; 1.1056296468426845e+00; 6.6937615638178938e-01; 1.1151029967997411e-01; 1.2174917013096802e+00; 1.0908573556648067e+00; 2.7870492850668849e-01
5; 0; 9; 9.6690580485912359e-01; 4.3494964355939364e-01; 1.1151029967997411e-01; 8.6243475786109802e-01; 1.0073887528205496e+00; 6.5023695895702494e-01
6; 0; 10; 5.1316862652088280e-01; 2.1721933382771927e-01; 5.0641595444311227e-01; 9.4137401544345756e-01; 5.5811137268008304e-01; 2.3113152727958253e-01
7; 0; 12; 8.2810199439198418e-01; 2.0038799367279228e-01; 1.1151029967997411e-01; 5.4668715693823056e-01; 2.4504504585399844e-01; 4.8568884423329839e-01
8; 0; 14; 7.9989063190070420e-01; 9.9278348175845366e-01; 7.1575364390421514e-01; 9.6483648494712526e-01; 8.1178140308734414e-01; 3.8507233474214042e-01
9; 0; 16; 4.8013640793848733e-01; 4.5243752094966538e-01; 7.1575364390421525e-01; 4.8582549801466801e-01; 2.3339985791846526e-01; 5.5128962525491965e-01
10; 0; 18; 9.7396926933660555e-01; 4.4688604412489413e-01; 1.1151029967997411e-01; 1.0161901679793242e+00; 6.2073638195545233e-01; 1.8523782326151039e-01
11; 0; 19; 1.0680173096882828e+00; 7.1910331792473403e-01; 1.9299547775080828e-01; 1.1595941553983036e+00; 1.0592430566084636e+00; 3.2633950932934219e-01
12; 0; 20; 7.5706957473789815e-01; 9.2042107481736957e-01; 7.1575364390421514e-01; 4.3040076405691113e-01; 2.6619790598464899e-01; 6.4224890469096108e-01
13; 0; 22; 7.1372514142269994e-01; 9.8538345286582618e-02; 1.7727633068638138e-01; 7.9738052179470476e-01; 4.8366834054361685e-01; 3.5260934781750497e-01
14; 0; 23; 9.7827791996053914e-01; 4.5416714250204604e-01; 1.1151029967997411e-01; 5.9208647757478094e-01; 1.7051903799736948e-01; 3.7690137938038798e-01
15; 0; 25; 7.3801849727446989e-01; 8.8822705833540061e-01; 7.1575364390421514e-01; 6.1400786517880068e-01; 2.5394355637029870e-01; 4.1026151062912014e-01
16; 0; 26; 4.1214775570511986e-01; 3.3754492262866698e-01; 7.1575364390421525e-01; 1.2167662632580096e+00; 1.0578259344637151e+00; 2.5582791889830936e-01
17; 0; 27; 5.4791543509131846e-01; 1.9665762037848150e-01; 4.4939187070681902e-01; 6.2399363593143764e-01; 2.7095336560096162e-01; 4.1035865958343387e-01
18; 0; 28; 7.9451118965859713e-01; 1.4362359683984477e-01; 1.1151029967997411e-01; 4.2260710331222473e-01; 3.5521995491490821e-01; 7.1575364390421525e-01
19; 0; 30; 5.7403650178584775e-01; 6.1111732133279584e-01; 7.1575364390421525e-01; 1.0475053817602293e+00; 5.9617088837425924e-01; 1.2950498735934901e-01
20; 0; 34; 6.7937235502902693e-01; 1.1886689283009944e-01; 2.3365377219778866e-01; 7.3629201080148643e-01; 1.0346418874015741e-01; 1.5338951415290236e-01
21; 0; 36; 7.4468804137430222e-01; 8.0215791286502192e-02; 1.2646213875909940e-01; 7.5277619156484965e-01; 5.6081350219676585e-01; 4.6231440723778494e-01
22; 0; 38; 1.0681508547930545e+00; 1.1792310457582955e+00; 5.2379290312599913e-01; 7.6148085806529364e-01; 9.2787561004885077e-01; 7.1575364390421514e-01
23; 0; 40; 6.4789227538993788e-01; 1.3749549221890411e-01; 2.8531672402617525e-01; 8.3665327654060950e-01; 5.3154888978243120e-01; 3.3931302240246652e-01
24; 0; 41; 4.9502299103976755e-01; 2.2795716479601341e-01; 5.3619532928917435e-01; 4.6290854937686310e-01; 3.5327508470205549e-01; 6.6536862390274676e-01
