# FractureId; NumTraces
0; 7
# TraceId; Tips; Length
0; 0; 6.7471443493720973e-01
6; 1; 6.0955246724863787e-01
5; 1; 4.8118971767339030e-01
1; 1; 4.2680143969791606e-01
4; 1; 4.2160911792667893e-01
3; 1; 3.9439852449745560e-01
2; 1; 1.4605310396686275e-01
# FractureId; NumTraces
1; 29
# TraceId; Tips; Length
25; 0; 9.0393217642189116e-01
28; 0; 6.2866540477648303e-01
17; 0; 3.8492992607914428e-01
34; 0; 2.9093410816150733e-01
14; 0; 1.5575395183890220e-01
23; 0; 1.4004828748305068e-01
9; 1; 9.3741389718636914e-01
29; 1; 9.3360668860935192e-01
32; 1; 9.2452310713592967e-01
26; 1; 8.8368803295815745e-01
30; 1; 8.0266857324260243e-01
7; 1; 6.9334901823859363e-01
31; 1; 6.7416314645497488e-01
20; 1; 6.2264135513784147e-01
15; 1; 5.0797391303725326e-01
16; 1; 4.6385210114130870e-01
12; 1; 4.1882175187814547e-01
11; 1; 3.6286845226982550e-01
10; 1; 3.6084402598645332e-01
35; 1; 3.3268441455391157e-01
19; 1; 3.0318395293005934e-01
22; 1; 2.7949254124386452e-01
8; 1; 2.5690210536291563e-01
24; 1; 2.1802353766625066e-01
27; 1; 1.4498749477242048e-01
33; 1; 1.3793889888406113e-01
18; 1; 1.2447664614277415e-01
21; 1; 3.2205721229195551e-02
13; 1; 1.1440457748452860e-02
# FractureId; NumTraces
2; 6
# TraceId; Tips; Length
36; 1; 6.9672839998550418e-01
0; 1; 6.7471443493720973e-01
38; 1; 5.2300954394792043e-01
39; 1; 4.6934874617055472e-01
40; 1; 3.7954758490435386e-01
37; 1; 1.7440624831934881e-01
# FractureId; NumTraces
3; 29
# TraceId; Tips; Length
66; 0; 6.5944790181641155e-01
64; 0; 6.3129751615244645e-01
53; 0; 6.3045861598887976e-01
45; 0; 5.7390811464565517e-01
48; 0; 3.2597142212739499e-01
59; 0; 2.4769903947436184e-01
44; 0; 1.8996706192210366e-01
41; 0; 1.7285713851104598e-01
7; 1; 6.9334901823859363e-01
52; 1; 6.4841762967191341e-01
57; 1; 6.4832288190895948e-01
65; 1; 6.2336405286413055e-01
58; 1; 5.9895445080443543e-01
62; 1; 5.7553208173634163e-01
42; 1; 5.3982200587684581e-01
43; 1; 5.0269084482302495e-01
67; 1; 4.8786620638736755e-01
50; 1; 3.6637188742059468e-01
60; 1; 3.5306434734383674e-01
47; 1; 3.1618758581756456e-01
56; 1; 3.1062652326103490e-01
54; 1; 3.0678991271705097e-01
63; 1; 2.9816793324690516e-01
61; 1; 2.8873677541999332e-01
51; 1; 2.8604972919225724e-01
46; 1; 2.1108417996010384e-01
49; 1; 2.0628574193534777e-01
55; 1; 1.1323699097574400e-01
68; 1; 2.5581278438587339e-02
# FractureId; NumTraces
4; 23
# TraceId; Tips; Length
81; 0; 8.7741980933355013e-01
8; 0; 2.5690210536291563e-01
70; 0; 5.1344459412478012e-02
86; 1; 8.9560207437027994e-01
89; 1; 7.0160779672323137e-01
82; 1; 6.5083394501699043e-01
80; 1; 6.3069832728828168e-01
87; 1; 6.2687452207338412e-01
90; 1; 5.8102259934463407e-01
88; 1; 5.2789646453839512e-01
73; 1; 5.2753809088190018e-01
75; 1; 5.2284873226797357e-01
71; 1; 4.9334759254711796e-01
74; 1; 4.5977394119010545e-01
83; 1; 4.2156776278981545e-01
85; 1; 4.0879329399964276e-01
69; 1; 3.6951510369423823e-01
84; 1; 2.9325172090586371e-01
72; 1; 2.0730281162183384e-01
77; 1; 1.7500582881682736e-01
76; 1; 1.4828813920453793e-01
78; 1; 1.4229570102831160e-01
79; 1; 6.0080722747593435e-02
# FractureId; NumTraces
5; 18
# TraceId; Tips; Length
93; 0; 1.4546681590113172e-01
9; 1; 9.3741389718636914e-01
99; 1; 8.0011000011290978e-01
98; 1; 7.6128311330849008e-01
102; 1; 5.4193063526718221e-01
101; 1; 4.5828326496382826e-01
103; 1; 4.5793878923464454e-01
91; 1; 4.1816157727458658e-01
69; 1; 3.6951510369423823e-01
100; 1; 3.4256644263550529e-01
96; 1; 3.1802728350911846e-01
95; 1; 3.1592384318204880e-01
104; 1; 2.3886239058765671e-01
106; 1; 2.2390863664954186e-01
92; 1; 1.8037308236993058e-01
94; 1; 1.5014470862621840e-01
105; 1; 1.2220046815910006e-01
97; 1; 1.0041749859015468e-01
# FractureId; NumTraces
6; 5
# TraceId; Tips; Length
36; 1; 6.9672839998550418e-01
1; 1; 4.2680143969791606e-01
109; 1; 1.9596735547721933e-01
107; 1; 1.4973175970221278e-01
108; 1; 3.7749700950232855e-02
# FractureId; NumTraces
7; 24
# TraceId; Tips; Length
114; 0; 8.6276525116766190e-01
121; 0; 7.3599990753973865e-01
118; 0; 7.1387476419108054e-01
126; 0; 5.0797228821189988e-01
117; 1; 9.9493753841209864e-01
129; 1; 7.9741057504480051e-01
120; 1; 5.3336313639516486e-01
127; 1; 5.2989735850812225e-01
125; 1; 5.2803578637605542e-01
110; 1; 5.2086105275162542e-01
128; 1; 4.4791420058171494e-01
111; 1; 4.1238289690281066e-01
10; 1; 3.6084402598645332e-01
116; 1; 3.3904431391603035e-01
115; 1; 3.0595373515579266e-01
119; 1; 2.5846507698565907e-01
124; 1; 2.1755214765727460e-01
131; 1; 1.8857250202010525e-01
41; 1; 1.7285713851104598e-01
112; 1; 1.2603545620209725e-01
123; 1; 1.1369984160350594e-01
130; 1; 1.0716343122549361e-01
113; 1; 4.2249225726658804e-02
122; 1; 9.4905881960352864e-03
# FractureId; NumTraces
8; 8
# TraceId; Tips; Length
137; 0; 1.0749675506845317e-01
132; 1; 6.0759601814421038e-01
136; 1; 3.5094448774549120e-01
135; 1; 3.3767888439838567e-01
133; 1; 3.2461084958832137e-01
134; 1; 2.5879726107968914e-01
138; 1; 1.6236851154716467e-01
2; 1; 1.4605310396686275e-01
# FractureId; NumTraces
9; 22
# TraceId; Tips; Length
147; 0; 7.1535205763484022e-01
140; 0; 4.8298143698395513e-01
145; 0; 3.9088120433452150e-01
142; 0; 2.2948873112094251e-01
152; 0; 1.2859362082504738e-01
154; 1; 5.7681392653823638e-01
144; 1; 5.4824912211249821e-01
42; 1; 5.3982200587684581e-01
151; 1; 5.3605405198337919e-01
110; 1; 5.2086105275162542e-01
148; 1; 5.1061979220506304e-01
